"No.","Time","Source","Destination","Protocol","Length","Info"
"117","5.518636","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"118","5.518636","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"119","5.518636","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"120","5.518636","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"121","5.518636","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"122","5.518636","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"123","5.518636","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"124","5.518636","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"125","5.518669","192.168.1.114","151.99.51.238","UDP","75","61661  >  443 Len=33"
"126","5.518731","192.168.1.114","151.99.51.238","UDP","75","61661  >  443 Len=33"
"127","5.518765","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"128","5.518765","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"129","5.518765","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"130","5.518765","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"131","5.518765","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"132","5.518765","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"133","5.518765","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"134","5.518765","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"135","5.518765","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"136","5.518765","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"137","5.518765","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"138","5.518765","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"139","5.518804","192.168.1.114","151.99.51.238","UDP","75","61661  >  443 Len=33"
"140","5.518892","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"141","5.518892","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"142","5.518892","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"143","5.518892","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"144","5.518892","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"145","5.518892","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"146","5.518892","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"147","5.518892","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"148","5.518892","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"149","5.518892","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"150","5.518892","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"151","5.518892","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"152","5.519045","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
