"No.","Time","Source","Destination","Protocol","Length","Info"
"102","7.868672","142.250.184.78","192.168.1.114","UDP","130","443  >  55915 Len=88"
"103","7.868885","142.250.184.78","192.168.1.114","UDP","68","443  >  55915 Len=26"
"104","7.868947","51.104.182.209","192.168.1.114","TCP","60","443  >  50257 [ACK] Seq=1 Ack=543 Win=64128 Len=0"
"105","7.869189","192.168.1.114","142.250.184.78","UDP","81","55915  >  443 Len=39"
"106","7.872741","192.168.1.114","142.250.184.78","UDP","75","55915  >  443 Len=33"
"107","7.878869","51.104.182.209","192.168.1.114","TLSv1.3","1506","Server Hello, Change Cipher Spec, Application Data"
"108","7.879051","192.168.1.114","51.104.182.209","TCP","54","50257  >  443 [ACK] Seq=543 Ack=1453 Win=262144 Len=0"
"109","7.879206","51.104.182.209","192.168.1.114","TCP","1506","443  >  50257 [PSH, ACK] Seq=1453 Ack=543 Win=64128 Len=1452 [TCP segment of a reassembled PDU]"
"110","7.879206","51.104.182.209","192.168.1.114","TLSv1.3","1466","Application Data, Application Data, Application Data"
"111","7.879285","192.168.1.114","51.104.182.209","TCP","54","50257  >  443 [ACK] Seq=543 Ack=4317 Win=262144 Len=0"
"112","7.883353","192.168.1.114","51.104.182.209","TLSv1.3","134","Change Cipher Spec, Application Data"
"113","7.884256","192.168.1.114","51.104.182.209","TLSv1.3","1482","Application Data"
"114","7.884925","192.168.1.114","51.104.182.209","TLSv1.3","1327","Application Data"
"115","7.885547","142.250.184.78","192.168.1.114","UDP","68","443  >  55915 Len=26"
"116","7.931547","51.104.182.209","192.168.1.114","TCP","60","443  >  50257 [ACK] Seq=4317 Ack=623 Win=64128 Len=0"
"117","7.931641","51.104.182.209","192.168.1.114","TCP","60","443  >  50257 [ACK] Seq=4317 Ack=2051 Win=64128 Len=0"
"118","7.932912","51.104.182.209","192.168.1.114","TCP","60","443  >  50257 [ACK] Seq=4317 Ack=3324 Win=64128 Len=0"
"119","7.932998","51.104.182.209","192.168.1.114","TLSv1.3","532","Application Data, Application Data"
"120","7.933065","192.168.1.114","51.104.182.209","TCP","54","50257  >  443 [ACK] Seq=3324 Ack=4795 Win=261632 Len=0"
"121","7.947787","142.250.184.78","192.168.1.114","UDP","89","443  >  55915 Len=47"
"122","7.951581","192.168.1.114","142.250.184.78","UDP","75","55915  >  443 Len=33"
"123","7.986005","52.98.163.18","192.168.1.114","TLSv1.2","750","Application Data"
"124","7.986053","192.168.1.114","52.98.163.18","TCP","54","50105  >  443 [ACK] Seq=416 Ack=1923 Win=1024 Len=0"
"125","7.986465","52.98.163.18","192.168.1.114","TLSv1.2","85","Application Data"
"126","7.986493","192.168.1.114","52.98.163.18","TCP","54","50105  >  443 [ACK] Seq=416 Ack=1954 Win=1023 Len=0"
"127","7.999419","51.104.182.209","192.168.1.114","TLSv1.3","1311","Application Data"
"128","7.999476","192.168.1.114","51.104.182.209","TCP","54","50257  >  443 [ACK] Seq=3324 Ack=6052 Win=262144 Len=0"
"129","8.006333","192.168.1.114","52.98.163.18","TLSv1.2","256","Application Data"
"130","8.072102","52.98.163.18","192.168.1.114","TLSv1.2","471","Application Data"
